VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee
2,1693527665000000,1693528323000000,1,2.24,1,N,237,107,1,12.8,1.0,0.5,3.56,0.0,1.0,21.36,2.5,0.0
2,1693526791000000,1693527136000000,1,0.65,1,N,148,79,1,7.2,1.0,0.5,2.44,0.0,1.0,14.64,2.5,0.0
2,1693527438000000,1693528252000000,1,2.57,1,N,148,256,1,16.3,1.0,0.5,0.0,0.0,1.0,21.3,2.5,0.0
2,1693526641000000,1693527300000000,1,1.54,1,N,164,137,1,11.4,1.0,0.5,4.1,0.0,1.0,20.5,2.5,0.0
2,1693527054000000,1693527642000000,1,1.79,1,N,163,238,2,12.1,1.0,0.5,0.0,0.0,1.0,17.1,2.5,0.0
2,1693528969000000,1693529657000000,1,2.93,1,N,100,45,1,14.9,1.0,0.5,3.98,0.0,1.0,23.88,2.5,0.0
2,1693526695000000,1693526985000000,1,1.05,1,N,239,48,2,7.2,1.0,0.5,0.0,0.0,1.0,12.2,2.5,0.0
2,1693527097000000,1693528003000000,1,7.46,1,N,48,243,1,31.0,1.0,0.5,9.0,0.0,1.0,45.0,2.5,0.0
2,1693527125000000,1693527403000000,1,1.51,1,N,237,142,1,8.6,1.0,0.5,3.4,0.0,1.0,17.0,2.5,0.0
2,1693528051000000,1693529182000000,1,4.91,1,N,48,231,1,24.0,1.0,0.5,5.8,0.0,1.0,34.8,2.5,0.0
2,1693528868000000,1693529072000000,1,0.81,1,N,237,162,1,5.8,1.0,0.5,2.16,0.0,1.0,12.96,2.5,0.0
2,1693526270000000,1693528053000000,2,5.57,1,N,100,7,1,31.0,1.0,0.5,7.2,0.0,1.0,43.2,2.5,0.0
2,1693526812000000,1693527427000000,1,1.26,1,N,100,163,2,10.7,1.0,0.5,0.0,0.0,1.0,15.7,2.5,0.0
2,1693526919000000,1693528378000000,2,5.49,1,N,79,7,1,26.8,1.0,0.5,6.36,0.0,1.0,38.16,2.5,0.0
2,1693529003000000,1693529372000000,2,1.89,1,N,141,263,1,10.0,1.0,0.5,3.75,0.0,1.0,18.75,2.5,0.0
2,1693528332000000,1693530421000000,1,7.66,1,N,164,36,1,38.7,1.0,0.5,8.74,0.0,1.0,52.44,2.5,0.0
2,1693527216000000,1693527626000000,1,0.84,1,N,211,148,1,7.9,1.0,0.5,2.8,0.0,1.0,15.7,2.5,0.0
2,1693528485000000,1693529283000000,1,4.76,1,N,148,140,1,21.9,1.0,0.5,8.07,0.0,1.0,34.97,2.5,0.0
2,1693527852000000,1693528435000000,1,1.91,1,N,163,263,1,11.4,1.0,0.5,3.28,0.0,1.0,19.68,2.5,0.0
1,1693528036000000,1693528540000000,1,1.0,1,N,230,90,1,9.3,3.5,0.5,2.85,0.0,1.0,17.15,2.5,0.0
1,1693529352000000,1693529718000000,3,1.0,1,N,114,148,1,8.6,3.5,0.5,3.0,0.0,1.0,16.6,2.5,0.0
2,1693526557000000,1693526679000000,1,0.94,1,N,43,163,1,5.8,1.0,0.5,2.16,0.0,1.0,12.96,2.5,0.0
2,1693527207000000,1693527361000000,1,0.57,1,N,161,164,1,5.1,1.0,0.5,2.02,0.0,1.0,12.12,2.5,0.0
2,1693528081000000,1693529041000000,1,4.11,1,N,249,143,1,20.5,1.0,0.5,5.1,0.0,1.0,30.6,2.5,0.0
2,1693528144000000,1693529822000000,4,16.03,1,N,93,170,1,62.5,1.0,0.5,0.0,6.94,1.0,74.44,2.5,0.0
2,1693526579000000,1693527178000000,1,4.48,1,N,138,260,2,19.1,6.0,0.5,0.0,0.0,1.0,28.35,0.0,1.75
2,1693529637000000,1693530218000000,1,1.55,1,N,4,114,1,10.7,1.0,0.5,3.14,0.0,1.0,18.84,2.5,0.0
1,1693527720000000,1693527896000000,1,0.5,1,N,162,237,1,5.1,3.5,0.5,1.25,0.0,1.0,11.35,2.5,0.0
1,1693526640000000,1693528055000000,1,10.1,1,N,137,243,1,40.8,3.5,0.5,9.15,0.0,1.0,54.95,2.5,0.0
1,1693529188000000,1693529443000000,1,0.9,1,N,142,239,1,7.2,3.5,0.5,3.0,0.0,1.0,15.2,2.5,0.0
2,1693526810000000,1693528017000000,1,6.01,1,N,79,75,2,28.9,0.0,0.5,0.0,0.0,1.0,32.9,2.5,0.0
2,1693529483000000,1693530286000000,1,4.39,1,N,246,166,1,19.8,0.0,0.5,3.45,0.0,1.0,27.25,2.5,0.0
2,1693528456000000,1693528983000000,1,1.34,1,N,48,246,1,10.7,1.0,0.5,3.14,0.0,1.0,18.84,2.5,0.0
2,1693527291000000,1693528581000000,2,5.93,1,N,79,238,1,27.5,1.0,0.5,6.5,0.0,1.0,39.0,2.5,0.0
2,1693528156000000,1693529150000000,2,3.12,1,N,7,129,2,18.4,1.0,0.5,0.0,0.0,1.0,20.9,0.0,0.0
2,1693527924000000,1693530665000000,1,8.98,1,N,246,157,1,47.1,1.0,0.5,10.42,0.0,1.0,62.52,2.5,0.0
2,1693527267000000,1693528199000000,1,2.42,1,N,48,234,1,15.6,1.0,0.5,1.4,0.0,1.0,22.0,2.5,0.0
2,1693528279000000,1693529143000000,1,1.91,1,N,234,48,1,14.2,1.0,0.5,3.46,0.0,1.0,22.66,2.5,0.0
2,1693528341000000,1693528663000000,1,0.93,1,N,68,234,2,7.2,1.0,0.5,0.0,0.0,1.0,12.2,2.5,0.0
2,1693529443000000,1693529654000000,1,0.96,1,N,246,50,1,6.5,1.0,0.5,2.3,0.0,1.0,13.8,2.5,0.0
2,1693526463000000,1693527154000000,1,1.68,1,N,100,249,1,12.1,1.0,0.5,3.42,0.0,1.0,20.52,2.5,0.0
2,1693527507000000,1693527815000000,1,1.41,1,N,249,231,1,8.6,1.0,0.5,2.72,0.0,1.0,16.32,2.5,0.0
2,1693526437000000,1693527316000000,1,6.3,1,N,141,87,1,26.8,1.0,0.5,6.36,0.0,1.0,38.16,2.5,0.0
2,1693527509000000,1693527834000000,1,0.67,1,N,209,261,1,7.2,1.0,0.5,2.44,0.0,1.0,14.64,2.5,0.0
2,1693527924000000,1693528768000000,1,3.66,1,N,88,68,1,18.4,1.0,0.5,2.0,0.0,1.0,25.4,2.5,0.0
1,1693527819000000,1693529196000000,2,9.1,1,N,114,41,1,39.4,3.5,0.5,0.0,0.0,1.0,44.4,2.5,0.0
