VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
2,1630457008000000,1630459383000000,1.0,22.3,2.0,N,132,261,1,52.0,0.0,0.5,12.37,6.55,0.3,75.47,2.5,1.25
2,1630455546000000,1630455884000000,1.0,0.75,1.0,N,148,148,2,5.5,0.5,0.5,0.0,0.0,0.3,9.3,2.5,0.0
2,1630456200000000,1630456777000000,1.0,1.82,1.0,N,148,249,1,9.0,0.5,0.5,2.56,0.0,0.3,15.36,2.5,0.0
2,1630456899000000,1630457319000000,1.0,1.79,1.0,N,68,50,1,8.0,0.5,0.5,2.36,0.0,0.3,14.16,2.5,0.0
1,1630456663000000,1630457796000000,1.0,3.4,1.0,N,163,246,2,15.0,3.0,0.5,0.0,0.0,0.3,18.8,2.5,0.0
1,1630454493000000,1630454858000000,2.0,1.4,1.0,N,68,230,2,7.0,3.0,0.5,0.0,0.0,0.3,10.8,2.5,0.0
1,1630455457000000,1630455676000000,1.0,0.8,1.0,N,163,141,1,5.0,3.0,0.5,1.0,0.0,0.3,9.8,2.5,0.0
1,1630455926000000,1630456260000000,1.0,1.5,1.0,Y,141,236,1,7.0,3.0,0.5,2.7,0.0,0.3,13.5,2.5,0.0
1,1630456865000000,1630458844000000,1.0,13.8,1.0,N,162,216,1,41.5,3.0,0.5,0.0,0.0,0.3,45.3,2.5,0.0
1,1630454863000000,1630454990000000,1.0,0.4,1.0,N,162,162,1,3.5,3.0,0.5,1.5,0.0,0.3,8.8,2.5,0.0
2,1630455553000000,1630456292000000,6.0,2.26,1.0,N,107,163,2,10.5,0.5,0.5,0.0,0.0,0.3,14.3,2.5,0.0
2,1630456478000000,1630456998000000,1.0,2.54,1.0,N,230,158,2,9.5,0.5,0.5,0.0,0.0,0.3,13.3,2.5,0.0
2,1630457682000000,1630457748000000,6.0,0.19,1.0,N,230,48,2,3.0,0.5,0.5,0.0,0.0,0.3,6.8,2.5,0.0
2,1630455498000000,1630455759000000,1.0,0.89,1.0,N,234,90,1,5.0,0.5,0.5,1.76,0.0,0.3,10.56,2.5,0.0
2,1630455950000000,1630456620000000,1.0,3.15,1.0,N,90,140,1,11.5,0.5,0.5,1.7,0.0,0.3,17.0,2.5,0.0
2,1630457067000000,1630457905000000,1.0,3.0,1.0,N,229,68,2,12.0,0.5,0.5,0.0,0.0,0.3,15.8,2.5,0.0
2,1630455419000000,1630458987000000,4.0,40.92,5.0,N,132,265,2,121.25,0.0,0.0,0.0,22.3,0.3,145.1,0.0,1.25
2,1630455902000000,1630456546000000,2.0,1.65,1.0,N,100,107,1,9.0,0.5,0.5,3.2,0.0,0.3,16.0,2.5,0.0
2,1630457361000000,1630457754000000,2.0,1.34,1.0,N,162,43,1,7.0,0.5,0.5,2.7,0.0,0.3,13.5,2.5,0.0
2,1630457806000000,1630458395000000,2.0,3.1,1.0,N,43,166,1,11.0,0.5,0.5,2.0,0.0,0.3,16.8,2.5,0.0
2,1630454571000000,1630455063000000,1.0,2.13,1.0,N,151,75,2,9.0,0.5,0.5,0.0,0.0,0.3,10.3,0.0,0.0
2,1630456408000000,1630456844000000,1.0,2.27,1.0,N,125,246,1,9.0,0.5,0.5,1.92,0.0,0.3,14.72,2.5,0.0
2,1630456872000000,1630457809000000,1.0,3.68,1.0,N,68,232,1,14.0,0.5,0.5,3.56,0.0,0.3,21.36,2.5,0.0
1,1630455350000000,1630456780000000,2.0,12.5,1.0,N,138,10,2,35.0,1.75,0.5,0.0,0.0,0.3,37.55,0.0,1.25
2,1630456126000000,1630457333000000,1.0,9.08,1.0,N,138,164,1,27.5,0.5,0.5,9.78,6.55,0.3,48.88,2.5,1.25
2,1630455648000000,1630456320000000,1.0,4.37,1.0,N,107,75,1,13.5,0.5,0.5,3.46,0.0,0.3,20.76,2.5,0.0
2,1630455310000000,1630456148000000,2.0,6.43,1.0,N,262,243,2,19.5,0.5,0.5,0.0,0.0,0.3,23.3,2.5,0.0
2,1630457442000000,1630458157000000,2.0,4.91,1.0,N,263,42,2,16.0,0.5,0.5,0.0,0.0,0.3,19.8,2.5,0.0
2,1630455271000000,1630533133000000,6.0,9.76,1.0,N,138,90,1,28.5,0.5,0.5,6.02,6.55,0.3,46.12,2.5,1.25
2,1630454958000000,1630455570000000,1.0,3.1,1.0,N,249,43,1,11.0,0.5,0.5,2.96,0.0,0.3,17.76,2.5,0.0
2,1630456051000000,1630456784000000,1.0,3.62,1.0,N,100,232,2,13.5,0.5,0.5,0.0,0.0,0.3,17.3,2.5,0.0
2,1630457779000000,1630458220000000,1.0,1.95,1.0,N,230,143,1,8.0,0.5,0.5,2.36,0.0,0.3,14.16,2.5,0.0
2,1630454773000000,1630455139000000,1.0,1.97,1.0,N,68,142,1,7.5,0.5,0.5,2.26,0.0,0.3,13.56,2.5,0.0
2,1630456416000000,1630458520000000,1.0,14.85,1.0,N,68,240,1,44.5,0.5,0.5,5.0,0.0,0.3,53.3,2.5,0.0
2,1630454610000000,1630456257000000,1.0,15.61,1.0,N,132,145,1,43.0,0.5,0.5,9.11,0.0,0.3,54.66,0.0,1.25
2,1630456987000000,1630458025000000,1.0,4.73,1.0,N,233,260,1,17.0,0.5,0.5,4.16,0.0,0.3,24.96,2.5,0.0
2,1630454584000000,1630455256000000,1.0,1.95,1.0,N,114,231,1,9.5,0.5,0.5,2.0,0.0,0.3,15.3,2.5,0.0
2,1630455685000000,1630457302000000,1.0,6.76,1.0,N,114,74,2,24.5,0.5,0.5,0.0,0.0,0.3,28.3,2.5,0.0
1,1630457390000000,1630457528000000,1.0,0.5,1.0,N,170,170,1,4.0,3.0,0.5,2.3,0.0,0.3,10.1,2.5,0.0
1,1630457771000000,1630458288000000,1.0,2.3,1.0,N,234,163,1,9.5,3.0,0.5,2.0,0.0,0.3,15.3,2.5,0.0
1,1630456184000000,1630457482000000,1.0,15.6,1.0,N,132,129,1,42.0,1.75,0.5,2.0,0.0,0.3,46.55,0.0,1.25
1,1630454469000000,1630454996000000,2.0,1.4,1.0,N,164,230,2,8.0,3.0,0.5,0.0,0.0,0.3,11.8,2.5,0.0
1,1630455149000000,1630456011000000,1.0,3.3,1.0,N,48,141,1,12.5,3.0,0.5,4.05,0.0,0.3,20.35,2.5,0.0
2,1630454196000000,1630455316000000,3.0,9.95,1.0,N,138,79,1,28.0,0.5,0.5,7.92,6.55,0.3,47.52,2.5,1.25
2,1630455697000000,1630456504000000,3.0,3.06,1.0,N,107,142,1,12.0,0.5,0.5,3.16,0.0,0.3,18.96,2.5,0.0
2,1630456897000000,1630457663000000,3.0,2.87,1.0,N,48,107,1,11.5,0.5,0.5,3.06,0.0,0.3,18.36,2.5,0.0
1,1630455136000000,1630455753000000,1.0,2.4,1.0,N,264,24,1,10.0,3.0,0.5,3.45,0.0,0.3,17.25,2.5,0.0
2,1630454568000000,1630455536000000,1.0,8.25,1.0,N,138,236,1,24.5,0.5,0.5,5.42,6.55,0.3,41.52,2.5,1.25
2,1630455613000000,1630456683000000,1.0,5.54,1.0,N,236,4,1,18.5,0.5,0.5,2.23,0.0,0.3,24.53,2.5,0.0
2,1630457224000000,1630458042000000,1.0,3.6,1.0,N,148,230,2,13.0,0.5,0.5,0.0,0.0,0.3,16.8,2.5,0.0
2,1630456140000000,1630456668000000,1.0,2.75,1.0,N,114,229,1,9.5,0.5,0.5,2.0,0.0,0.3,15.3,2.5,0.0
2,1630456134000000,1630456522000000,1.0,1.1,1.0,N,97,65,2,6.5,0.5,0.5,0.0,0.0,0.3,7.8,0.0,0.0
2,1630455021000000,1630455705000000,1.0,2.4,1.0,N,164,231,1,10.5,0.5,0.5,1.0,0.0,0.3,15.3,2.5,0.0
