VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,cbd_congestion_fee
2,1756687905000000,1756691864000000,2,18.87,2,N,132,236,1,70.0,0.0,0.5,16.19,6.94,1.0,98.88,2.5,1.75,0.0
1,1756685091000000,1756685459000000,1,1.0,1,N,249,68,1,7.9,4.25,0.5,3.0,0.0,1.0,16.65,2.5,0.0,0.75
1,1756685836000000,1756686183000000,1,0.8,1,N,90,158,1,7.2,4.25,0.5,2.55,0.0,1.0,15.5,2.5,0.0,0.75
1,1756686438000000,1756688745000000,1,12.7,1,N,68,138,4,57.6,9.25,0.5,0.0,6.94,1.0,75.29,2.5,0.0,0.75
2,1756685362000000,1756686135000000,1,3.02,1,N,163,79,1,15.6,1.0,0.5,4.27,0.0,1.0,25.62,2.5,0.0,0.75
2,1756684985000000,1756685455000000,2,0.97,1,N,229,163,1,9.3,1.0,0.5,3.01,0.0,1.0,18.06,2.5,0.0,0.75
2,1756685295000000,1756687376000000,2,17.6,2,N,132,43,1,70.0,0.0,0.5,14.95,0.0,1.0,91.45,2.5,1.75,0.75
2,1756686074000000,1756687131000000,1,9.16,1,N,138,186,1,36.6,6.0,0.5,10.0,6.94,1.0,66.04,2.5,1.75,0.75
2,1756687764000000,1756688355000000,1,1.94,1,N,186,158,1,12.1,1.0,0.5,3.57,0.0,1.0,21.42,2.5,0.0,0.75
1,1756687227000000,1756687979000000,1,3.2,1,N,249,88,1,15.6,4.25,0.5,4.25,0.0,1.0,25.6,2.5,0.0,0.75
1,1756685156000000,1756686008000000,1,3.4,1,N,100,87,1,16.3,4.25,0.5,0.0,0.0,1.0,22.05,2.5,0.0,0.75
1,1756686936000000,1756687296000000,1,1.4,1,N,114,186,1,8.6,4.25,0.5,2.85,0.0,1.0,17.2,2.5,0.0,0.75
1,1756687534000000,1756687910000000,1,1.1,1,N,249,164,1,7.9,4.25,0.5,2.75,0.0,1.0,16.4,2.5,0.0,0.75
